longitude	latitude	speed
-122.426763	45.502257	0.2
-122.426763	45.502257	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.2
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.774331550802139
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	1.0350684931506848
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.7167664670658682
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.7271523178807947
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.591156462585034
-122.426802	45.502258	0
-122.426802	45.502258	0.8997118155619597
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.6
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0.7979522184300342
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
-122.426802	45.502258	0
