longitude	latitude	speed
-122.648128	45.492762	0
-122.648128	45.492762	1.6
-122.64815	45.492748	0
-122.64815	45.492748	5.933333333333334
-122.648342	45.492715	0
-122.648342	45.492715	9.328125
-122.648603	45.492558	1.6
-122.648603	45.492558	9.8
-122.648615	45.492178	0
-122.648615	45.492178	8.745454545454546
-122.648662	45.491688	9.8
-122.648662	45.491688	7.533333333333333
-122.648668	45.491225	0
-122.648668	45.491225	8.633333333333333
-122.648655	45.490778	7.958333333333333
-122.648655	45.490778	0
-122.648652	45.490602	7.533333333333333
-122.648652	45.490602	0
-122.648648	45.490528	10.111650485436893
-122.648648	45.490528	0
-122.648393	45.490298	0
-122.648393	45.490298	13.14
-122.647728	45.49028	5.933333333333334
-122.647728	45.49028	13.5
-122.646883	45.490282	0
-122.646883	45.490282	9.533333333333333
-122.645987	45.490288	13.5
-122.645987	45.490288	14.4
-122.645055	45.490292	0
-122.645055	45.490292	14.4
-122.6441	45.490297	7.892307692307693
-122.6441	45.490297	0
-122.643122	45.490293	8.633333333333333
-122.643122	45.490293	14.7
-122.642158	45.490287	7.1692307692307695
-122.642158	45.490287	0
-122.641213	45.490283	0
-122.641213	45.490283	14.7
-122.640353	45.490283	0
-122.640353	45.490283	6.815384615384615
-122.639825	45.490282	0
-122.639825	45.490282	13.14
-122.639757	45.49028	0
-122.639757	45.49028	10.291390728476822
-122.639427	45.490277	10.3
-122.639427	45.490277	9.533333333333333
-122.638105	45.490282	0
-122.638105	45.490282	10.3
-122.63776	45.490285	0
-122.63776	45.490285	0
-122.637422	45.490293	0
-122.637422	45.490293	7.892307692307693
-122.636832	45.490297	11.28
-122.636832	45.490297	7.958333333333333
-122.636122	45.49029	0
-122.636122	45.49029	7.1692307692307695
-122.564693	45.500622	13.666666666666666
-122.564693	45.500622	0
-122.564693	45.500622	18.8
-122.635392	45.49029	0
-122.635392	45.49029	11.36
-122.564683	45.501472	0
-122.564683	45.501472	9.66
-122.564683	45.501472	18.8
-122.564683	45.501472	18.6
-122.634643	45.490303	6.815384615384615
-122.634643	45.490303	10.8
-122.564567	45.502312	8.08
-122.564567	45.502312	0
-122.564567	45.502312	18.6
-122.564567	45.502312	17.4
-122.63399	45.490485	0
-122.63399	45.490485	10.8
-122.844077	45.503987	3.32
-122.844077	45.503987	0
-122.844077	45.503987	0
-122.844077	45.503987	4
-122.564248	45.503073	9.066666666666666
-122.564248	45.503073	17.4
-122.564248	45.503073	0
-122.564248	45.503073	14.6
-122.633318	45.490613	11.8
-122.633318	45.490613	0
-122.844062	45.504122	0
-122.844062	45.504122	0
-122.844062	45.504122	2.2153846153846155
-122.844062	45.504122	3.8666666666666667
-122.563845	45.503663	5.391304347826087
-122.563845	45.503663	0
-122.563845	45.503663	4.866666666666666
-122.563845	45.503663	14.6
-122.632585	45.490608	8.745454545454546
-122.632585	45.490608	0
-122.84394	45.504322	4
-122.84394	45.504322	4.6
-122.84394	45.504322	3.2
-122.84394	45.504322	0
-122.563593	45.504005	0
-122.563593	45.504005	8.588888888888889
-122.563593	45.504005	0
-122.631803	45.490617	11.8
-122.631803	45.490617	11.74
