longitude	latitude	speed
-122.42733	45.502873	0
-122.42733	45.502873	7.1
-122.426962	45.502913	0
-122.426962	45.502913	3.8
-122.426532	45.502925	4.866666666666666
-122.426532	45.502925	0
-122.426453	45.502928	8.8
-122.426453	45.502928	3.8
-122.426227	45.503007	0
-122.426227	45.503007	0
-122.426178	45.503452	12.3
-122.426178	45.503452	4.866666666666666
-122.426027	45.504018	0
-122.426027	45.504018	8.8
-122.426002	45.504563	0
-122.426002	45.504563	12.3
-122.426003	45.505053	8.258064516129032
-122.426003	45.505053	0
-122.426007	45.50552	0
-122.426007	45.50552	13.398071625344352
-122.426003	45.50594	14.428753180661577
-122.426003	45.50594	0
-122.426002	45.50627	0
-122.426002	45.50627	11.2
-122.425983	45.506782	10
-122.425983	45.506782	11.2
-122.425848	45.50724	10
-122.425848	45.50724	14.38107752956636
-122.425777	45.5074	0
-122.425777	45.5074	0
-122.425777	45.507402	8.258064516129032
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	6.688995215311005
-122.425777	45.507402	0
-122.425777	45.507402	7.1
-122.425777	45.507402	0.6923076923076923
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	6.807339449541284
-122.425777	45.507402	7.073394495412844
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507402	8.445652173913043
-122.425777	45.507402	0
-122.425777	45.507402	6.923076923076923
-122.425777	45.507402	0
-122.425777	45.507402	0
-122.425777	45.507403	0.56
-122.425777	45.507403	0
-122.425727	45.507522	0.56
-122.425727	45.507522	11.693877551020408
-122.425855	45.507765	10.4
-122.425855	45.507765	0.6923076923076923
-122.426485	45.507935	14
-122.426485	45.507935	10.4
-122.427367	45.508105	16.5
-122.427367	45.508105	14
-122.428362	45.508302	6.708860759493671
-122.428362	45.508302	0
-122.429432	45.508533	16.5
-122.429432	45.508533	0
-122.430432	45.508765	5.784810126582278
-122.430432	45.508765	0
-122.43095	45.50889	6.923076923076923
-122.43095	45.50889	0
-122.431192	45.50898	0
-122.431192	45.50898	6.8734177215189876
-122.431502	45.509355	10.653225806451612
-122.431502	45.509355	0
-122.432082	45.509802	11.693877551020408
-122.432082	45.509802	0
-122.43283	45.51032	0
-122.43283	45.51032	0
-122.433455	45.510857	6.807339449541284
-122.433455	45.510857	0
-122.433722	45.511078	7.073394495412844
-122.433722	45.511078	0
-122.43377	45.511107	6.708860759493671
-122.43377	45.511107	0
-122.433833	45.511405	21.548076923076923
-122.433833	45.511405	0
-122.43381	45.511905	5.784810126582278
-122.43381	45.511905	0
-122.433797	45.512513	0
-122.433797	45.512513	0
-122.433787	45.513232	0
-122.433787	45.513232	6.8734177215189876
-122.433777	45.514065	0
-122.433777	45.514065	0
-122.43377	45.514973	20.4
-122.43377	45.514973	0
-122.43378	45.515915	20.4
-122.43378	45.515915	17.4
-122.433768	45.516753	6.688995215311005
-122.433768	45.516753	0
-122.433742	45.517525	12.866666666666667
-122.433742	45.517525	17.4
-122.433742	45.518205	8.445652173913043
-122.433742	45.518205	11
-122.433737	45.518705	0
-122.433737	45.518705	11
-122.433732	45.519302	0
-122.433732	45.519302	12.866666666666667
-122.433703	45.52005	0
-122.433703	45.52005	16.2
-122.43369	45.520817	0
-122.43369	45.520817	10.653225806451612
-122.433685	45.521542	21.828835774865073
-122.433685	45.521542	16.2
-122.433705	45.522223	0
-122.433705	45.522223	12
-122.433698	45.522925	0
-122.433698	45.522925	16.88
-122.433683	45.523682	0
-122.433683	45.523682	12.779661016949152
-122.433665	45.524573	0
-122.433665	45.524573	8.838709677419354
-122.43364	45.525403	5.990909090909091
-122.43364	45.525403	0
-122.43363	45.526212	0
-122.43363	45.526212	1.646153846153846
-122.433633	45.526815	6.8
-122.433633	45.526815	16.88
-122.433623	45.527147	6.8
-122.433623	45.527147	1.6
-122.43362	45.52724	0
-122.43362	45.52724	1.6
-122.43362	45.52724	0
-122.43362	45.52724	2.0144927536231885
-122.43362	45.52724	0
-122.43362	45.52724	12
-122.43362	45.52724	0
-122.43362	45.52724	0
-122.43362	45.52724	0
-122.43362	45.52724	0
-122.43362	45.52724	0
-122.43362	45.52724	0
-122.43362	45.527247	12.290476190476191
-122.43362	45.527247	0
-122.43362	45.527255	1.646153846153846
-122.43362	45.527255	3.4
-122.433615	45.52739	7.2
-122.433615	45.52739	3.4
-122.433605	45.527738	18.739285714285714
-122.433605	45.527738	0
-122.433822	45.527983	11.3
-122.433822	45.527983	7.2
-122.43442	45.527977	15.34
-122.43442	45.527977	2.0144927536231885
-122.435257	45.527947	16.2
-122.435257	45.527947	11.3
-122.436292	45.527933	16.2
-122.436292	45.527933	0
-122.437483	45.527922	0
-122.437483	45.527922	15.1
-122.438678	45.527917	16.8
-122.438678	45.527917	5.990909090909091
-122.439852	45.52791	16.46
-122.439852	45.52791	0
-122.441063	45.527912	0
-122.441063	45.527912	15.257142857142858
-122.442025	45.527942	16.8
-122.442025	45.527942	0
-122.442483	45.528182	0
-122.442483	45.528182	12.4
-122.442483	45.528737	14.9
-122.442483	45.528737	12.4
-122.442473	45.529433	0
-122.442473	45.529433	15.34
-122.442555	45.530228	14.78
-122.442555	45.530228	0
-122.443075	45.531005	8.838709677419354
-122.443075	45.531005	20.8
-122.444082	45.531632	0
-122.444082	45.531632	20.8
-122.44516	45.532217	13.42
-122.44516	45.532217	0
-122.445977	45.532795	16.46
-122.445977	45.532795	8.8
-122.446242	45.533198	0
-122.446242	45.533198	8.8
-122.446355	45.53351	0
-122.446355	45.53351	16.357894736842105
-122.446393	45.533932	0
-122.446393	45.533932	15.18
-122.446387	45.534507	14.9
-122.446387	45.534507	0
-122.446378	45.535213	21.79581151832461
-122.446378	45.535213	0
-122.446537	45.535938	14.78
-122.446537	45.535938	16.2
-122.447005	45.536605	16.2
-122.447005	45.536605	0
-122.447655	45.537175	0
-122.447655	45.537175	15.76
-122.448248	45.537725	15.2
-122.448248	45.537725	13.42
-122.448633	45.538365	15.2
-122.448633	45.538365	17
-122.448932	45.539102	17
-122.448932	45.539102	0
-122.449203	45.539793	23.962025316455698
-122.449203	45.539793	0
-122.44911	45.540368	14.6
-122.44911	45.540368	15.18
-122.44826	45.54054	14.6
-122.44826	45.54054	14.6
-122.447812	45.539997	14.6
-122.447812	45.539997	0
-122.448497	45.53956	15.1
-122.448497	45.53956	0
-122.449628	45.539543	0
-122.449628	45.539543	12.290476190476191
-122.45089	45.53952	15.76
-122.45089	45.53952	24.418181818181818
-122.452247	45.539542	15.257142857142858
-122.452247	45.539542	0
-122.453678	45.539627	25.10909090909091
-122.453678	45.539627	0
-122.455185	45.539765	0
-122.455185	45.539765	16.357894736842105
-122.45675	45.53995	0
-122.45675	45.53995	25.418181818181818
-122.459995	45.540347	0
-122.459995	45.540347	12.779661016949152
-122.461627	45.540542	25.52
-122.461627	45.540542	0
-122.463252	45.540723	0
-122.463252	45.540723	25.2
-122.464882	45.54086	25.2
-122.464882	45.54086	25.2680412371134
